Título;Data;Curtidas;Formato;Tipo do conteúdo;Alcance;Taxa de engajamento
Hist. da Robocup Ep 3;mai-24;70;Reel;TBT;747;9%
Cavadinha do RoboCIn;mai-24;157;Reel;Cotidiano;2152;7%
Testes no Lab;mai-24;105;Reel;Cotidiano;1071;10%
Hist. da Robocup Ep 2;mai-24;81;Reel;TBT;1254;6%
TBT RoboCup 23 descontraído;mai-24;304;Photodump;TBT;1392;22%
Hist. da Robocup Ep 1;mai-24;127;Reel;TBT;1225;10%
Prep. SSL RoboCup;abr-24;103;Reel;Cotidiano;1069;10%
Prep. 2D RoboCup;abr-24;146;Reel;Cotidiano;1974;7%
Anúncio RoboCup 24;abr-24;127;Foto;Informativo;852;15%
Eu sou do RoboCIn;abr-24;414;Reel;Trend;3493;12%
Workshop Mulheres;mar-24;194;Foto;Informativo;1343;14%
Dia da Mulher;mar-24;172;Foto;Especial;1003;17%
Resultados Geral Iron 24;mar-24;258;Photodump;Competição;1412;18%
Resultados do dia 2 Iron 24;mar-24;203;Photodump;Competição;1209;17%
Resultados do dia 1 Iron 24;mar-24;169;Photodump;Competição;1018;17%
Prep. 2D Iron ;fev-24;82;Reel;Cotidiano;948;9%
Prep. SSL Iron ;fev-24;165;Reel;Cotidiano;1905;9%
anúncio IronCup 24;jan-24;102;Foto;Informativo;785;13%
Ação Social Natal;dez-23;238;Foto;Especial;1238;19%
Decoração Natal;dez-23;220;Reel;Especial;2022;11%
Robozenha 23;dez-23;250;Photodump;Trend;1368;18%
RoboCIn  Spotify Wrapped;nov-23;353;Photodump;Trend;1709;21%
Dia da Consciência Negra;nov-23;106;Reel;Especial;1150;9%
RoboCIn 8 anos;nov-23;177;Reel;Especial;2090;8%
Media day fotos;nov-23;303;Photodump;Cotidiano;1309;23%
Media day vlog;nov-23;282;Reel;Cotidiano;3391;8%
TBT LARC 23;out-23;123;Reel;TBT;1164;11%
Agradecimento Patrocinadores 2;out-23;179;Foto;Informativo;1079;17%
Checkpoint LARC 4;out-23;192;Reel;Competição;1588;12%
Turistando na Bahia;out-23;128;Reel;Competição;1124;11%
Photodump LARC 23;out-23;221;Photodump;Competição;1621;14%
Mini Vlog LARC 23;out-23;95;Reel;Competição;1064;9%
Checkpoint LARC 3;out-23;106;Reel;Competição;1185;9%
Resultado Geral LARC 23;out-23;460;Photodump;Competição;3434;13%
Resultados do dia 3 LARC 23;out-23;180;Photodump;Competição;1148;16%
Resultados do dia 2 LARC 23;out-23;259;Photodump;Competição;1468;18%
Tour LARC 23;out-23;114;Reel;Competição;4046;3%
Resultados do dia 1 LARC 23;out-23;342;Photodump;Competição;1632;21%
Primeiro dia LARC 23;out-23;259;Photodump;Competição;1256;21%
Partiu LARC;out-23;198;Reel;Competição;1650;12%
Chegada Salvador;out-23;541;Foto;Competição;4635;12%
Arrumando as Malas;out-23;150;Reel;Cotidiano;2240;7%
Testes de Drone;out-23;119;Reel;Cotidiano;1100;11%
Histórias da LARC EP 7;set-23;103;Reel;TBT;1079;10%
Testes de VSS;set-23;76;Reel;Cotidiano;2003;4%
Histórias da LARC EP 6;set-23;84;Reel;TBT;1775;5%
Testes de SSL;set-23;141;Reel;Cotidiano;2210;6%
Histórias da LARC EP 5;set-23;138;Reel;TBT;2082;7%
Checkpoint LARC 2;set-23;193;Reel;Cotidiano;2152;9%
Histórias da LARC EP 4;set-23;118;Reel;TBT;1988;6%
Histórias da LARC EP 3;ago-23;125;Reel;TBT;2457;5%
Histórias da LARC EP 2;ago-23;126;Reel;TBT;1920;7%
Vista nossa camisa;ago-23;209;Foto;Informativo;1623;13%
Geoguessr da Bahia;ago-23;151;Reel;Trend;2291;7%
Histórias da LARC EP 1;ago-23;111;Reel;TBT;2152;5%
Checkpoint LARC 1;ago-23;254;Reel;Cotidiano;3216;8%
TBT LARC 16-22;ago-23;369;Photodump;TBT;1372;27%
